"population_id","study_id","metabolic_group","timing_construct","challenge_type","n_analyzed","primary_destination","destination_label"
"Bandin_2015_all","Bandin_2015","healthy","same_meal_occasion","mixed_meal",10,"F2","Same-meal occasion, 120–180 min"
"Bo_2015_all","Bo_2015","healthy","daypart","mixed_meal",20,"F1","Daypart mixed meal, 120–180 min"
"Bravo_Garcia_2024_T2D","Bravo_Garcia_2024","type 2 diabetes","same_meal_occasion","mixed_meal",11,"T2D","Type 2 diabetes, separate timing questions"
"Enomoto_2026_all","Enomoto_2026","healthy","relative_to_sleep","mixed_meal",13,"F2","Same-meal occasion, 120–180 min"
"Garaulet_2022_all","Garaulet_2022","mixed/other eligible","relative_to_sleep","oral_glucose_or_carbohydrate",845,"OGTT","Isolated oral glucose challenge"
"Gibbs_2014_all","Gibbs_2014","healthy","daypart","mixed_meal",10,"F1","Daypart mixed meal, 120–180 min"
"Gu_2020_all","Gu_2020","healthy","same_meal_occasion","mixed_meal",20,"SAME_EXT","Extended-window same dinner, 240–300 min"
"Haldar_2020_all","Haldar_2020","healthy","daypart","mixed_meal",34,"F1","Daypart mixed meal, 120–180 min"
"Jarrett_1972_all","Jarrett_1972","healthy","daypart","oral_glucose_or_carbohydrate",24,"OGTT","Isolated oral glucose challenge"
"Lopez_Minguez_2018_all","Lopez_Minguez_2018","overweight/obesity without diabetes","relative_to_sleep","mixed_meal",40,"F2","Same-meal occasion, 120–180 min"
"Nakamura_2021_all","Nakamura_2021","healthy","same_meal_occasion","mixed_meal",12,"F2","Same-meal occasion, 120–180 min"
"Pizinger_2018_all","Pizinger_2018","overweight/obesity without diabetes","daypart","mixed_meal",6,"F1","Daypart mixed meal, 120–180 min"
"Saad_2012_all","Saad_2012","healthy","daypart","mixed_meal",20,"D300_360_ND","Long-window daypart, 300–360 min, no diabetes"
"Sato_2011_all","Sato_2011","healthy","same_meal_occasion","mixed_meal",10,"SAME_EXT","Extended-window same dinner, 240–300 min"
"Service_1983_all","Service_1983","healthy","daypart","mixed_meal",6,"D300_360_ND","Long-window daypart, 300–360 min, no diabetes"
"Stutz_2024_early","Stutz_2024","healthy","daypart","mixed_meal",22,"F1","Daypart mixed meal, 120–180 min"
"Stutz_2024_late","Stutz_2024","healthy","daypart","mixed_meal",23,"F1","Daypart mixed meal, 120–180 min"
"Sulaimani_2025_all","Sulaimani_2025","healthy","daypart","mixed_meal",14,"F1","Daypart mixed meal, 120–180 min"
"Yadav_2023_ND","Yadav_2023","healthy","daypart","mixed_meal",19,"D300_360_ND","Long-window daypart, 300–360 min, no diabetes"
"Yadav_2023_T2D","Yadav_2023","type 2 diabetes","daypart","mixed_meal",19,"T2D","Type 2 diabetes, separate timing questions"
