"family","study_id","primary_auc_construct","raw_mean_difference","paired_precision","log_ratio_of_means","scientific_compatibility_issue","family_wide_role"
"F1","Bo_2015","reported glucose AUC, 180 min","available as adjusted contrast","reported CI","not computable: condition means absent","AUC definition and printed units uncertain","structured display; nested-stratum estimate only when compatible"
"F1","Gibbs_2014","incremental AUC, 120 min","available for GI-specific comparisons","exact/bounded from reported p by GI","computable","incremental plasma AUC and unequal fasting durations","structured display; nested-stratum estimate only when compatible"
"F1","Haldar_2020","incremental AUC, 180 min","available for GI-specific comparisons","bounded from p<0.0001 by GI","computable","incremental plasma AUC with GI factorial structure","structured display; nested-stratum estimate only when compatible"
"F1","Pizinger_2018","total AUC, 180 min","available from condition means","missing","computable","total AUC with meal/sleep factorial structure","structured display; nested-stratum estimate only when compatible"
"F1","Stutz_2024","incremental AUC, 120 min","available as chronotype-specific model contrasts","reported CI by chronotype","computable","CGM incremental AUC with chronotype strata","structured display; nested-stratum estimate only when compatible"
"F1","Sulaimani_2025","incremental AUC, 180 min","available from graph-derived condition means","bounded from p<0.01 by treatment","computable from graph-derived means","incremental plasma AUC with GTE factorial structure","structured display; nested-stratum estimate only when compatible"
"F2","Bandin_2015","AUC above baseline, 150 min","available with exact paired precision","exact from p=0.002","computable","above-baseline lunch AUC","structured display; nested-stratum estimate only when compatible"
"F2","Enomoto_2026","incremental AUC, 180 min","author-provided for Days 1–4","author-provided paired SD/SE/CI","computable","CGM incremental dinner AUC across repeated days","structured display; nested-stratum estimate only when compatible"
"F2","Lopez_Minguez_2018","total AUC, 120 min","available with exact paired precision","exact from p=0.004","computable","total dinner AUC","structured display; nested-stratum estimate only when compatible"
"F2","Nakamura_2021","incremental AUC, 180 min","available from graph-derived condition means","bounded from p<0.001 for dinner","computable from graph-derived means","CGM incremental dinner AUC from figure","structured display; nested-stratum estimate only when compatible"
