"study_id","comparison","n","mean_difference","p_relation","p_value_or_bound","data_status","source","precision_type","paired_se_or_upper_bound","conservative_ci_low","conservative_ci_high"
"Gibbs_2014","low GI: evening minus morning",10,167,"<",0.001,"reported table","Gibbs 2014 Table 2","conservative upper bound on paired SE from reported p threshold",34.9306,87.9816,246.0184
"Gibbs_2014","high GI: evening minus morning",10,133,"=",0.003,"reported table","Gibbs 2014 Table 2","exact paired SE derived from reported two-sided p",33.0518,58.2316,207.7684
"Haldar_2020","high GI: dinner minus breakfast",34,284.4,"<",1e-04,"reported model contrast","Haldar 2020 Table 2","conservative upper bound on paired SE from reported p threshold",64.3081,153.5642,415.2358
"Haldar_2020","low GI: dinner minus breakfast",34,207.1,"<",1e-04,"reported model contrast","Haldar 2020 Table 2","conservative upper bound on paired SE from reported p threshold",46.8291,111.8254,302.3746
"Nakamura_2021","dinner day 2: late minus early",12,2100,"<",0.001,"graph-digitized mean difference","Nakamura 2021 Figure 3B","conservative upper bound on paired SE from reported p threshold",473.295,1058.2848,3141.7152
"Sulaimani_2025","control rice: evening minus morning",14,165,"<",0.01,"graph-digitized mean difference","Sulaimani 2025 Figure 3B","conservative upper bound on paired SE from reported p threshold",54.7759,46.6639,283.3361
"Sulaimani_2025","GTE rice: evening minus morning",14,200,"<",0.01,"graph-digitized mean difference","Sulaimani 2025 Figure 3B","conservative upper bound on paired SE from reported p threshold",66.395,56.5624,343.4376
"Enomoto_2026","day 1: 1 h minus 5 h before bedtime",13,1550.76923,"=",0.03,"author-provided paired t-test","Enomoto author-supplied aggregate statistics, 2026-08-31; meta_analysis/data/author_provided/Enomoto_2026/ttest_iAUC_1h5h.csv","author-provided paired SD, SE, and 95% CI",631.6292,174.5675,2926.971
"Enomoto_2026","day 2: 1 h minus 5 h before bedtime",13,598.84615,"=",0.433,"author-provided paired t-test","Enomoto author-supplied aggregate statistics, 2026-08-31; meta_analysis/data/author_provided/Enomoto_2026/ttest_iAUC_1h5h.csv","author-provided paired SD, SE, and 95% CI",738.3293,-1009.8352,2207.5275
"Enomoto_2026","day 3: 1 h minus 5 h before bedtime",13,-1208.07692,"=",0.085,"author-provided paired t-test","Enomoto author-supplied aggregate statistics, 2026-08-31; meta_analysis/data/author_provided/Enomoto_2026/ttest_iAUC_1h5h.csv","author-provided paired SD, SE, and 95% CI",643.044,-2609.1495,192.9957
"Enomoto_2026","day 4: 1 h minus 5 h before bedtime",13,-57.69231,"=",0.95,"author-provided paired t-test","Enomoto author-supplied aggregate statistics, 2026-08-31; meta_analysis/data/author_provided/Enomoto_2026/ttest_iAUC_1h5h.csv","author-provided paired SD, SE, and 95% CI",905.6774,-2030.9938,1915.6091
