"study_id","precision_availability_class","remaining_limitation"
"Bandin_2015","direct/recoverable paired precision","unit QA only"
"Bo_2015","direct/recoverable paired precision","Published condition means/SDs in companion report; retain AUC unit caveat and adjusted primary contrast"
"Bravo_Garcia_2024","reported contrast without usable precision","SE/CI for breakfast pairwise contrasts"
"Enomoto_2026","direct/recoverable paired precision","none for prespecified Day-2 contrast; Days 1, 3, and 4 retained as sensitivities"
"Garaulet_2022","direct/recoverable paired precision","Published paired AUC differences/SDs available; overall and genotype strata must not be double-counted"
"Gibbs_2014","reported p-value precision recovered or bounded","GI-specific paired precision recovered; overall timing contrast and unit QA remain"
"Gu_2020","direct/recoverable paired precision","none for 240-min model contrast"
"Haldar_2020","reported p-value precision recovered or bounded","Overall and GI-specific timing contrasts recovered with p-threshold precision bounds; unit QA remains"
"Jarrett_1972","timed means; AUC contrast precision unavailable","participant-level AUC or covariance across timed measures"
"Lopez_Minguez_2018","direct/recoverable paired precision","unit QA only for total sample"
"Nakamura_2021","reported p-value precision recovered or bounded","p-threshold precision bound recovered; exact figure values remain"
"Pizinger_2018","condition summaries; covariance/model precision missing","factorial timing contrast precision and unit QA"
"Sato_2011","condition summaries; covariance/model precision missing","paired covariance"
"Service_1983","condition summaries; covariance/model precision missing","meal-size estimand, paired covariance, and unit QA"
"Stutz_2024","direct/recoverable paired precision","none for chronotype-specific 120-min contrasts"
"Sulaimani_2025","direct/recoverable paired precision","Glucose iAUC author data complete; other insulin/peak values remain graph-digitized except the reported morning GTE insulin peak; AUC unit inferred from report"
"Lu_2022","narrative capillary contrast; paired precision unavailable","Capillary AUC window unclear; long CGM window overlaps dinner. No precision imputed."
