"study_id","population_id","contrast","timing_construct","challenge_type","metabolic_group","metric","auc_definition","window_min","early_value","late_value","later_minus_earlier","ci_low","ci_high","p_value","units","result_form","data_status","precision_status","source_provenance","direction"
"Bandin_2015","Bandin_2015_all","Late versus early lunch","same_meal_occasion","mixed_meal","healthy","mean difference","above baseline",150,,,32.6,15.43701360585,49.76298639415,"0.002","mmol/L×h (as printed)","within_person_contrast","derived","95% CI derived from paired SE","Bandin_2015_primary; PDF p13; Results","larger response later"
"Bo_2015","Bo_2015_all","Evening versus morning mixed meal","daypart","mixed_meal","healthy","adjusted mean difference","reported AUC",180,,,1800.1,1036,2564.1,"<0.001","mg/dL×h (as printed)","model_contrast","reported_table","reported 95% CI","Bo_2015_primary; PDF p24; Table 2","larger response later"
"Bravo_Garcia_2024","Bravo_Garcia_2024_T2D","Later versus early breakfast delayed minus early","same_meal_occasion","mixed_meal","type 2 diabetes","CGM glucose iAUC difference","incremental",120,,,-41,,,"<0.02","mmol/L×2h (as printed)","within_person_contrast","reported_text","no SE/CI reported for this contrast","Bravo_Garcia_2024; PDF pp5–6; Results","smaller response later"
"Bravo_Garcia_2024","Bravo_Garcia_2024_T2D","Later versus early breakfast mid minus early","same_meal_occasion","mixed_meal","type 2 diabetes","CGM glucose iAUC difference","incremental",120,,,-57,,,"<0.002","mmol/L×2h (as printed)","within_person_contrast","reported_text","no SE/CI reported for this contrast","Bravo_Garcia_2024; PDF pp5–6; Results","smaller response later"
"Enomoto_2026","Enomoto_2026_all","Dinner 1 h versus 5 h before sleep, Day 2","relative_to_sleep","mixed_meal","healthy","dinner glucose iAUC paired difference","incremental",180,,,598.84615,-1009.83523,2207.52754,"0.433","mg/dL×min","within_person_contrast","author_provided","author-provided paired SD, SE, and 95% CI","Enomoto author-supplied aggregate statistics, 2026-08-31; meta_analysis/data/author_provided/Enomoto_2026/ttest_iAUC_1h5h.csv","larger response later"
"Garaulet_2022","Garaulet_2022_all","Late versus early evening OGTT","relative_to_sleep","oral_glucose_or_carbohydrate","mixed/other eligible","relative difference","incremental",120,,,8.3,,,"<0.0001","percent","within_person_contrast","reported_text","no SE/CI reported for this contrast","Garaulet_2022; PDF p4; Results","larger response later"
"Gibbs_2014","Gibbs_2014_all","Evening versus morning, high-GI meal","daypart","mixed_meal","healthy","glucose iAUC","incremental",120,218,351,133,,,,"mmol/L·h (as printed)","difference of reported condition means","reported_figure","paired/model precision unavailable in the report","Gibbs_2014_primary; PDF p4; Figure 2 numeric labels and Results","larger response later"
"Gibbs_2014","Gibbs_2014_all","Evening versus morning, low-GI meal","daypart","mixed_meal","healthy","glucose iAUC","incremental",120,142,309,167,,,,"mmol/L·h (as printed)","difference of reported condition means","reported_figure","paired/model precision unavailable in the report","Gibbs_2014_primary; PDF p4; Figure 2 numeric labels and Results","larger response later"
"Gu_2020","Gu_2020_all","Late versus routine dinner","same_meal_occasion","mixed_meal","healthy","adjusted mean difference","total",240,,,88.8,70.3,107.3,"<0.001","mg/dL×h","model_contrast","reported_text","reported 95% CI","Gu_2020_primary; PDF p11; Table 4","larger response later"
"Haldar_2020","Haldar_2020_all","Dinner versus breakfast, GI conditions combined","daypart","mixed_meal","healthy","overall model timing contrast","incremental",180,,,245.75,,,"<0.0001","as Table 2","model_contrast","reported_table","no SE/CI reported for this contrast","Haldar_2020_primary; PDF p6; Table 2","larger response later"
