limitation_id,study_id,limitation_type,evidence_status,observation,analytical_implication,source
I001,all,analysis-critical,open,Most crossover studies omit within-person contrast SD/SE.,Do not treat conditions as independent; request paired/model precision or obtain approval for a correlation sensitivity analysis.,codebook; feasibility pilot
I002,Bandin_2015,unit,open,Glucose AUC is printed as mmol/L×h although the magnitude suggests a different time scaling.,Verify against journal version/supplement or author data before synthesis.,Bandin_2015; PDF p13; Results
I003,Bo_2015,missing condition values,resolved,Condition AUC means and SDs are printed in the companion report.,"Extracted from Bo 2017, PDF p4; retain primary adjusted contrast.",Bo_2015_primary; Figure/Table 2
I004,Bravo_Garcia_2024,missing precision,open,Primary glucose iAUC contrasts have p values but no usable SE/CI; condition summaries are individual plots.,Request model contrasts/SE or participant-level summaries.,Bravo_Garcia_2024; Results/Figure 3
I005,Enomoto_2026,estimand,resolved,Four intervention days show changing condition differences; interaction p is 0.046 in table and 0.042 in abstract.,Day 2 prespecified as principal to match Nakamura's Day-2 dinner; Days 1 and 4 retained as adaptation sensitivities. Paired precision supplied by the author on 2026-08-31.,Enomoto_2026; abstract/Table 3; author correspondence 2026-08-31
I006,Garaulet_2022,graph digitization,partially resolved,Condition AUC means/SEM are figure-derived; exact paired AUC differences and SDs are printed in Table 2.,Use reported paired differences and SDs; avoid double-counting overall and genotype strata.,Garaulet_2022; PDF p6; Table 2 and Figure 1
I007,Gibbs_2014,unit/confounding,open,Glucose iAUC unit label appears inconsistent with magnitude; morning and evening fasting durations differed.,Verify unit and treat fasting duration as a design limitation/heterogeneity factor.,"Gibbs_2014; pp2,4"
I008,Gu_2020,co-intervention structure,open,"Dinner and snack times are exchanged, so the eligible dinner timing contrast occurs within a different preceding/following snack schedule.",Retain as approved but keep separate/sensitivity-coded in analysis plan.,Gu_2020; Methods
I009,Haldar_2020,unit,open,Table 2/3 does not explicitly print concentration-time units in the extracted table.,Verify journal HTML/supplement; do not convert until confirmed.,Haldar_2020_primary; Tables 2–3
I010,Jarrett_1972,missing AUC precision,open,"Timed means permit mean-curve AUC reconstruction, but participant-level AUC variance/covariance is unavailable.",Narrative/timed outcome use unless author-level data are recovered; no invented variance.,Jarrett_1972; Tables II–III
I011,Lopez_Minguez_2018,unit,open,AUC is printed as mmol/L×h despite large values; paired SE derivation applies only to total sample.,Verify unit; do not transfer total-sample covariance to genotype strata.,Lopez_Minguez_2018; Results
I012,Nakamura_2021,graph digitization,open,Meal-specific iAUC and CGM averages are figure-only.,Replace approximate digitization with exact values if available.,Nakamura_2021; Figure 3
I013,Pizinger_2018,unit/sample,open,Insulin AUC denominator changes across a page break (µU/mL versus µU/dL); Ls/Lm n=5.,Verify final publisher version/supplement and preserve n=5 for Ls/Lm.,Pizinger_2018; pp4–5
I014,Service_1983,unit/missing arms,open,Integrated glucose/insulin units are malformed in print; large-meal insulin and secretion summaries are reported in Results; small-meal and other hormone values are figure-based.,Retain printed units and reported large-meal summaries; do not infer paired precision.,Service_1983; Results/Figures
I015,Stutz_2024,internal consistency,open,Several rounded model contrasts do not equal arithmetic differences of condition means; late-chronotype 24-h iAUC CI appears unusual.,Use reported model contrasts; verify CI against source table/publisher correction.,Stutz_2024; Table 2
I016,Sulaimani_2025,graph digitization,partially resolved,"Author-provided glucose iAUC values supply condition summaries and paired precision. Other insulin and peak outcomes remain figure-derived, except the reported morning GTE insulin peak.",Use author-derived glucose estimates; no glucose covariance transferred to insulin.,Sulaimani_2025; Figures 3–4
I018,all,scope,resolved,"Mixed meals, isolated glucose challenges, daypart, same-meal-occasion, relative-to-sleep, healthy, and T2D studies are not one estimand.",Keep synthesis strata separate under locked PICOS and a later approved analysis plan.,01_protocol/PICOS.md
I019,Haldar_2020,participant flow,resolved,"Earlier working extraction treated 40 as randomized; the CONSORT flow reports 48 randomized, 37 completed, and 34 analyzed per protocol.",Counts corrected from the report flow diagram before ROBUST-RCT assessment.,Haldar_2020_primary; CONSORT flow
I020,Nakamura_2021,participant flow,resolved,Earlier working extraction treated the final n=12 as randomized; 14 were randomized and 12 analyzed.,Counts corrected from Methods and participant flow before ROBUST-RCT assessment.,Nakamura_2021; Methods/participant flow
I021,Stutz_2024,participant flow,resolved,Earlier working extraction copied analyzed chronotype-stratum counts into randomized/completed fields.,"Stratum randomized/completed fields left blank; overall flow retained in notes: 60 randomized, 46 completed, 45 analyzed.",Stutz_2024; Figure 1 and Methods
I_Lu_1,Lu_2022,outcome interpretation,open,"Reported CGM 0-270 min extends 30 min beyond scheduled 18:00 dinner in 14S; retain as descriptive context, not clean lunch-only AUC. Paired covariance unavailable.",Retain explicit limitation; do not pool ambiguous or covariance-missing estimates.,"Lu 2022; pp3-8, Methods/Results and Figures 2-3"
I_Lu_2,Lu_2022,outcome interpretation,open,"Figure 3 AUC/peak labels say 0–120 min, but Methods/time-course axes show −30 to +90 min relative to lunch. Bar means/SEM digitized; paired precision remains unavailable.",Retain explicit limitation; do not pool ambiguous or covariance-missing estimates.,"Lu 2022; pp3-8, Methods/Results and Figures 2-3"
I_Lu_3,Lu_2022,risk of bias,open,Six of 26 completed participants lack capillary glucose/insulin data (23.1%); CGM available in all 26.,Retain explicit limitation; do not pool ambiguous or covariance-missing estimates.,"Lu 2022; pp3-8, Methods/Results and Figures 2-3"
I_Lu_4,Lu_2022,risk of bias,open,Registry ChiCTR2200057791 cited; full registry/protocol could not be independently retrieved during this update.,Retain explicit limitation; do not pool ambiguous or covariance-missing estimates.,"Lu 2022; pp3-8, Methods/Results and Figures 2-3"
