"synthesis_id","analysis_level","parent_family","comparison_question","studies","k_studies","approximate_unique_participants","compatibility","synthesis_role"
"F1","principal family",NA,"Adults without diabetes: daypart mixed-meal glucose AUC over 120–180 min","Bo_2015; Gibbs_2014; Haldar_2020; Pizinger_2018; Stutz_2024; Sulaimani_2025",6,129,"Common daypart construct and 2–3-h window; AUC definition, measurement method, modifier structure, and units differ","Reported individually; total and incremental AUC, measurement methods, and modifiers differ"
"F1_D120","nested stratum","F1","Healthy adults: morning versus evening mixed meal, 120-min glucose iAUC","Gibbs_2014; Stutz_2024",2,55,"Same window/iAUC label, but CGM versus plasma and chronotype/GI multi-condition structure","Reported individually; measurement methods and modifier structure differ"
"F1_D180_IAUC","nested stratum","F1","Healthy adults: breakfast versus dinner mixed meal, 180-min glucose iAUC","Haldar_2020; Sulaimani_2025",2,48,"Same window/iAUC label, but both studies have modifier-dependent repeated contrasts","Reported individually; modifier structure and bounded precision limit comparability"
"F1_D180_TOTAL","nested stratum","F1","Healthy adults: earlier-day versus later-day mixed meal, 180-min total/reported AUC","Bo_2015; Pizinger_2018",2,26,"Same window, but AUC definition/unit and factorial structure differ","Reported individually; AUC definitions and units differ"
"F2","principal family",NA,"Adults without diabetes: same-meal-occasion/relative-to-sleep mixed-meal glucose AUC over 120–180 min","Bandin_2015; Enomoto_2026; Lopez_Minguez_2018; Nakamura_2021",4,75,"Common delayed-meal construct and 2–3-h window; lunch/dinner, clock/relative-to-sleep timing, AUC definition, and measurement differ","No family-wide pooled estimate; AUC definitions and windows differ"
"F2_180_CGM","nested stratum","F2","Earlier versus later dinner, 180-min CGM glucose iAUC","Enomoto_2026; Nakamura_2021",2,25,"Same window, CGM, incremental AUC, and dinner occasion; Enomoto has exact author-provided paired precision, while Nakamura remains graph-digitized with a conservative p-threshold SE bound","Primary delayed-dinner synthesis; retain digitization and p-threshold precision limitations"
"F2_DIRECT","nested stratum","F2","Earlier versus later same meal occasion with directly recoverable precision","Bandin_2015; Lopez_Minguez_2018",2,50,"Both are mixed meals with direct precision, but 150 versus 120 min and AUC-above-baseline versus total AUC differ","Reported individually; AUC definitions and windows differ"
"SAME_EXT","supportive block",NA,"Earlier versus later dinner, extended 240–300-min glucose AUC","Gu_2020; Sato_2011",2,30,"Different windows and measurement methods; Gu includes reciprocal snack timing","Reported individually; windows and co-interventions differ"
"D300_360_ND","supportive block",NA,"Adults without diabetes: daypart mixed meals with 300–360-min glucose AUC/iAUC","Service_1983",1,6,"Single study with dependent within-meal-size contrasts","Reported individually; estimands and paired precision differ"
"T2D","separate population block",NA,"Adults with type 2 diabetes","Bravo_Garcia_2024",1,11,"Single breakfast-delay study","Reported individually; timing questions differ"
"OGTT","separate challenge block",NA,"Isolated oral glucose challenge evidence","Garaulet_2022; Jarrett_1972",2,869,"Mixed relative-to-sleep versus clock-time constructs; Jarrett lacks reported AUC precision","Reported individually; challenge timing and precision differ"
"LUNCH_LU","supportive block",NA,"No-preload lunch at 14:00 versus 12:00","Lu_2022",1,26,"Capillary n=20; AUC window unresolved; 270-min CGM includes next dinner in late condition","Narrative only; no pooled estimate or imputed precision"
