derivation_id,study_id,outcome_id,derivation_type,inputs,formula_or_method,assumptions,result,data_status,notes
D001,Bandin_2015,O0003,paired SE from exact paired t-test,condition means 102.6 and 70.0; n=10; two-sided p=0.002,"SE = |MD| / |t_(1-p/2, n-1)|",Exact p corresponds to unadjusted paired t-test for displayed means,SE=7.5870; SDdifference=23.9923,derived,Do not use if the reported p was from a different model/test.
D002,Bo_2015,O0004,SE from 95% CI,"CI [-2564.1, -1036.0]",SE = (upper-lower)/(2×1.96),Normal approximation,SE=389.8286,derived,Reported model contrast itself remains primary.
D003,Gu_2020,,SE from 95% CI,"CI [70.3, 107.3]",SE = (upper-lower)/(2×1.96),Normal approximation,SE=9.4390,derived,Reported model contrast itself remains primary.
D004,Lopez_Minguez_2018,,paired SE from exact paired t-test,late 284.74; early 269.61; n=40; p=0.004,"SE = |MD| / |t_(1-p/2, n-1)|",Exact p corresponds to unadjusted paired t-test for displayed total-sample means,MD=15.13; SE=4.9456; SDdifference=31.2787,derived,Do not transfer covariance to genotype subgroups.
D005,Stutz_2024,,SE from 95% CI,"early chronotype 2-h iAUC contrast CI [2,77]",SE = (upper-lower)/(2×1.96),Normal approximation,SE=19.1330,derived,Use reported multilevel-model contrast.
D006,Stutz_2024,,SE from 95% CI,"late chronotype 2-h iAUC contrast CI [-55,48]",SE = (upper-lower)/(2×1.96),Normal approximation,SE=26.2760,derived,Use reported multilevel-model contrast.
D007,Garaulet_2022,,manual graph digitization,Figure 1B/D bars and SEM caps,Axis-calibrated visual read; rounded to graph resolution,No subpixel precision claimed,glucose ~276 vs 299; insulin ~98 vs 91.5,graph_digitized,"Approximate condition means retained; exact paired AUC differences and SDs extracted from PDF p6, Table 2."
D008,Nakamura_2021,,manual graph digitization,Figure 3A/B bars and SD caps,Axis-calibrated visual read; rounded to graph resolution,Figure states mean±SD,meal-specific iAUC and period mean values,graph_digitized,Dinner contrast direction robust; exact values approximate.
D009,Sulaimani_2025,,manual graph digitization,Figures 3C and 4B/C bars and SD caps,Axis-calibrated visual read; rounded to graph resolution,Figures state mean±SD,glucose peak; insulin iAUC and peaks except reported morning GTE peak,graph_digitized,Glucose iAUC uses author-provided participant data. Morning GTE insulin peak uses the reported Abstract value.
D010,Enomoto_2026,O0261,unit conversion for delayed-dinner synthesis,Author-provided Day-2 MD=598.84615 and SE=738.32932 mg/dL×min,Divide glucose concentration-time values by 18,1 mmol/L glucose = 18 mg/dL; time unit unchanged,MD=33.2692; SE=41.0183 mmol/L×min,derived,Original author-provided units and values remain unchanged in Outcomes.
